patient_id,label,weight,heatmap_color
pt13sz2,POLG38,0.9921,1
pt13sz2,POLG59,0.9877,1
pt13sz2,POLG29,0.9866,1
pt13sz2,POLG37,0.9746,1
pt13sz2,POLG58,0.9722,1
pt13sz2,POLLMIH4,0.9697,1
pt13sz2,POLG57,0.9681,1
pt13sz2,POLG36,0.9679,1
pt13sz2,POLLPPIH1,0.9669,1
pt13sz2,POLG20,0.9636,1
pt13sz2,POLRPIH3,0.9607,1
pt13sz2,POLLPPIH4,0.9598,1
pt13sz2,POLRPPIH4,0.9564,1
pt13sz2,POLG45,0.9563,1
pt13sz2,POLG1,0.9549,1
pt13sz2,POLAP3,0.9518,1
pt13sz2,POLLMIH3,0.9514,1
pt13sz2,POLLPPIH2,0.9513,1
pt13sz2,POLLPPIH6,0.9496,2
pt13sz2,POLMF6,0.9491,2
pt13sz2,POLG53,0.9483,2
pt13sz2,POLG18,0.9433,2
pt13sz2,POLG2,0.9424,2
pt13sz2,POLG12,0.9421,2
pt13sz2,POLRPPIH6,0.9419,2
pt13sz2,POLLMIH2,0.9397,2
pt13sz2,POLRMIH2,0.9368,2
pt13sz2,POLG41,0.9334,2
pt13sz2,POLG49,0.9331,2
pt13sz2,POLRMIH3,0.9315,2
pt13sz2,POLRPIH6,0.9307,2
pt13sz2,POLPP2,0.9303,2
pt13sz2,POLG25,0.9287,2
pt13sz2,POLG19,0.9285,2
pt13sz2,POLRPPIH5,0.9280,2
pt13sz2,POLAP1,0.9257,2
pt13sz2,POLG62,0.9254,2
pt13sz2,POLG35,0.9253,2
pt13sz2,POLG61,0.9245,2
pt13sz2,POLG50,0.9243,2
pt13sz2,POLLPPIH5,0.9239,2
pt13sz2,POLG43,0.9230,2
pt13sz2,POLG21,0.9199,2
pt13sz2,POLG33,0.9163,2
pt13sz2,POLPP1,0.9157,2
pt13sz2,POLG3,0.9142,2
pt13sz2,POLG10,0.9127,2
pt13sz2,POLG17,0.9127,2
pt13sz2,POLG26,0.9111,2
pt13sz2,POLRMIH4,0.8998,3
pt13sz2,POLG44,0.8947,3
pt13sz2,POLG60,0.8937,3
pt13sz2,POLPP3,0.8927,3
pt13sz2,POLG9,0.8891,3
pt13sz2,POLG28,0.8878,3
pt13sz2,POLAP2,0.8841,3
pt13sz2,POLG52,0.8679,3
pt13sz2,POLG11,0.8671,3
pt13sz2,POLR2,0.8648,3
pt13sz2,POLRPIH2,0.8523,3
pt13sz2,POLG13,0.8453,4
pt13sz2,POLG42,0.8368,4
pt13sz2,POLLPPIH3,0.8315,4
pt13sz2,POLRPPIH1,0.8201,4
pt13sz2,POLLF6,0.8188,4
pt13sz2,POLRPIH5,0.8139,4
pt13sz2,POLPP5,0.7904,5
pt13sz2,POLG27,0.7809,5
pt13sz2,POLPP4,0.7639,5
pt13sz2,POLFP6,0.7572,5
pt13sz2,POLG51,0.7501,5
pt13sz2,POLRAIH4,0.7317,6
pt13sz2,POLG30,0.7249,6
pt13sz2,POLG54,0.7151,6
pt13sz2,POLR1,0.7127,6
pt13sz2,POLRAIH5,0.6903,7
pt13sz2,POLG46,0.6772,7
pt13sz2,POLAP6,0.6246,8
pt13sz2,POLRPIH4,0.6195,8
pt13sz2,POLLMIH1,0.6142,8
pt13sz2,POLG39,0.6081,8
pt13sz2,POLPP6,0.6048,8
pt13sz2,POLMF5,0.6015,8
pt13sz2,POLG15,0.5475,10
pt13sz2,POLLF5,0.5405,10
pt13sz2,POLG4,0.4640,11
pt13sz2,POLRAIH6,0.4474,12
pt13sz2,POLRPIH1,0.4353,12
pt13sz2,POLAP4,0.4324,12
pt13sz2,POLFP5,0.4170,12
pt13sz2,POLG6,0.4017,12
pt13sz2,POLRMIH1,0.3975,13
pt13sz2,POLG40,0.3745,13
pt13sz2,POLG22,0.3702,13
pt13sz2,POLG8,0.2989,15
pt13sz2,POLG34,0.2768,15
pt13sz2,POLG5,0.2725,15
pt13sz2,POLG48,0.2569,15
pt13sz2,POLMF4,0.1529,17
pt13sz2,POLG24,0.1390,18
pt13sz2,POLG56,0.1349,18
pt13sz2,POLG47,0.1196,18
pt13sz2,POLMF2,0.1133,18
pt13sz2,POLMF3,0.1037,18
pt13sz2,POLG32,0.1020,18
pt13sz2,POLG16,0.0987,19
pt13sz2,POLG14,0.0738,19
pt13sz2,POLRPPIH3,0.0594,19
pt13sz2,POLLF3,0.0520,19
pt13sz2,POLMF1,0.0471,20
pt13sz2,POLRAIH2,0.0470,20
pt13sz2,POLLF1,0.0464,20
pt13sz2,POLRAIH1,0.0396,20
pt13sz2,POLG7,0.0356,20
pt13sz2,POLG55,0.0128,20
pt13sz2,POLLF4,0.0098,20
pt13sz2,POLFP3,0.0068,20
pt13sz2,POLAP5,0.0054,20
pt13sz2,POLG31,0.0043,20
pt13sz2,POLG23,0.0031,20
pt13sz2,POLLF2,0.0003,20
